1,"Salmon - Whole, 4 - 6 Pounds",5.87,413,13
2,Wine - Muscadet Sur Lie,18.29,142,11
3,Lid Coffee Cup 8oz Blk,15.64,253,3
4,Lychee - Canned,10.63,324,11
5,Cup - Translucent 7 Oz Clear,5.39,418,16
6,Chips Potato Reg 43g,5.91,119,12
7,"Pork - Loin, Boneless",13.87,279,18
8,"Pork - Tenderloin, Frozen",6.59,270,6
9,Wine - Fat Bastard Merlot,16.82,500,8
10,Chicken - Base,14.67,187,1
11,Pork - Kidney,11.06,376,19
12,Cheese - Gorgonzola,12.36,358,18
13,Sobe - Liz Blizz,4.38,143,10
14,Juice - Ocean Spray Cranberry,19.63,414,1
15,Macaroons - Two Bite Choc,16.95,395,11
16,Tomatoes - Cherry,17.66,156,19
17,Gloves - Goldtouch Disposable,2.59,306,4
18,Spring Roll Wrappers,3.64,339,14
19,Ham - Cooked Italian,13.16,300,6
20,"Beef - Bones, Cut - Up",12.86,479,4
21,Lettuce - Sea / Sea Asparagus,17.6,54,20
22,Hipnotiq Liquor,9.56,434,9
23,Wine - Gato Negro Cabernet,4.32,313,1
24,Wine - Zinfandel Rosenblum,9.01,335,10
25,Icecream - Dstk Strw Chseck,9.06,103,15
26,Cabbage - Green,19.78,326,12
27,Lamb Leg - Bone - In Nz,17.63,166,15
28,Celery Root,11.92,361,20
29,Dc Hikiage Hira Huba,9.48,162,6
30,Alize Red Passion,7.41,403,14
31,Wine - Jackson Triggs Okonagan,14.06,379,2
32,Vinegar - Champagne,15.52,340,6
33,Oats Large Flake,14.59,416,16
34,Pastry - Mini French Pastries,11.96,429,1
35,Dawn Professionl Pot And Pan,13.3,398,18
36,Wine - Cave Springs Dry Riesling,19.03,195,12
37,Kiwano,5.98,320,2
38,"Cherries - Maraschino,jar",14.59,414,6
39,Puff Pastry - Sheets,4.33,266,5
40,"Appetizer - Spring Roll, Veg",5.94,426,12
41,Beer - Upper Canada Light,19.11,396,8
42,"Fish - Scallops, Cold Smoked",17.69,442,12
43,Lemon Tarts,3.82,394,2
44,"Wine - Magnotta, Merlot Sr Vqa",4.76,231,4
45,"Octopus - Baby, Cleaned",11.54,127,9
46,Cabbage - Nappa,0.26,17,12
47,Watercress,0.64,305,5
48,"Beans - Turtle, Black, Dry",4.35,380,10
49,Bread - Crusty Italian Poly,6.81,327,8
50,Bread - Pain Au Liat X12,10.65,27,17
